date,region,category,revenue_k_usd,profit_k_usd,gross_margin,marketing_spend_k_usd,units_sold,returning_customer_share
2021-12-01,North America,Apparel,747.66,329.17,0.4403,78.27,9359,0.4202
2022-01-01,North America,Apparel,477.94,204.72,0.4283,48.8,9120,0.3956
2022-02-01,North America,Apparel,437.67,188.34,0.4303,39.32,8152,0.4486
2022-03-01,North America,Apparel,463.76,194.21,0.4188,51.74,8714,0.4482
2022-04-01,North America,Apparel,517.17,225.44,0.4359,46.0,7316,0.3524
2022-05-01,North America,Apparel,557.16,235.91,0.4234,40.41,6688,0.3791
2022-06-01,North America,Apparel,443.7,186.6,0.4206,35.94,5522,0.3785
2022-07-01,North America,Apparel,425.3,182.68,0.4295,33.73,12106,0.4291
2022-08-01,North America,Apparel,513.08,221.54,0.4318,28.2,13652,0.4351
2022-09-01,North America,Apparel,593.31,252.79,0.4261,52.87,20918,0.4582
2022-10-01,North America,Apparel,557.37,232.72,0.4175,26.06,17508,0.46
2022-11-01,North America,Apparel,793.45,343.55,0.433,90.3,25853,0.4186
2022-12-01,North America,Apparel,944.83,408.56,0.4324,88.26,12235,0.4192
2023-01-01,North America,Apparel,485.68,213.72,0.44,41.97,15344,0.4188
2023-02-01,North America,Apparel,492.13,212.2,0.4312,53.53,14412,0.4381
2023-03-01,North America,Apparel,496.94,211.92,0.4265,47.9,7489,0.4692
2023-04-01,North America,Apparel,576.25,247.83,0.4301,59.43,8059,0.4959
2023-05-01,North America,Apparel,572.99,247.92,0.4327,59.4,15921,0.4687
2023-06-01,North America,Apparel,588.82,262.18,0.4453,50.32,8349,0.4803
2023-07-01,North America,Apparel,558.08,233.9,0.4191,41.54,18348,0.4662
2023-08-01,North America,Apparel,656.63,293.22,0.4466,61.23,8751,0.4706
2023-09-01,North America,Apparel,626.98,277.25,0.4422,72.25,11018,0.4835
2023-10-01,North America,Apparel,762.42,334.5,0.4387,74.84,8498,0.4858
2023-11-01,North America,Apparel,869.88,373.36,0.4292,57.46,14235,0.51
2023-12-01,North America,Apparel,996.68,446.86,0.4484,59.88,19780,0.4866
2024-01-01,North America,Apparel,564.26,236.81,0.4197,24.04,6608,0.5409
2024-02-01,North America,Apparel,547.44,236.11,0.4313,20.06,5936,0.5768
2024-03-01,North America,Apparel,584.72,253.42,0.4334,42.27,10831,0.5113
2024-04-01,North America,Apparel,586.67,262.48,0.4474,55.68,14998,0.5394
2024-05-01,North America,Apparel,662.72,285.17,0.4303,81.1,17678,0.5588
2024-06-01,North America,Apparel,622.63,283.33,0.4551,63.23,10474,0.51
2024-07-01,North America,Apparel,604.89,264.04,0.4365,28.8,12716,0.5088
2024-08-01,North America,Apparel,689.97,288.1,0.4176,33.09,8163,0.5366
2024-09-01,North America,Apparel,671.07,294.91,0.4395,67.87,12766,0.5545
2024-10-01,North America,Apparel,759.88,339.17,0.4464,66.77,8930,0.5349
2024-11-01,North America,Apparel,941.63,410.05,0.4355,78.51,15330,0.5263
2024-12-01,North America,Apparel,1004.67,444.86,0.4428,107.18,25184,0.5728
2021-01-01,North America,Home & Garden,313.91,112.51,0.3584,36.14,6458,0.3066
2021-02-01,North America,Home & Garden,293.27,106.42,0.3629,28.7,3127,0.3943
2021-03-01,North America,Home & Garden,341.44,122.23,0.358,22.93,3689,0.3495
2021-04-01,North America,Home & Garden,313.15,115.21,0.3679,24.92,4813,0.3696
2021-05-01,North America,Home & Garden,371.87,129.7,0.3488,35.23,4752,0.3539
2021-06-01,North America,Home & Garden,328.04,114.3,0.3484,29.9,3488,0.3781
2021-07-01,North America,Home & Garden,324.84,119.1,0.3667,38.57,4980,0.3559
2021-08-01,North America,Home & Garden,376.36,139.02,0.3694,17.39,12038,0.3481
2021-09-01,North America,Home & Garden,384.74,133.8,0.3478,33.38,4961,0.4047
2021-10-01,North America,Home & Garden,418.04,148.87,0.3561,35.56,14771,0.3956
2021-11-01,North America,Home & Garden,520.42,191.1,0.3672,39.1,7129,0.3604
2021-12-01,North America,Home & Garden,519.22,196.71,0.3789,50.07,7686,0.3865
2022-01-01,North America,Home & Garden,325.24,117.45,0.3611,24.53,6388,0.3552
2022-02-01,North America,Home & Garden,331.96,127.4,0.3838,23.58,8931,0.4226
2022-03-01,North America,Home & Garden,319.99,116.84,0.3651,43.22,8647,0.4584
2022-04-01,North America,Home & Garden,340.77,125.96,0.3696,18.04,4832,0.4489
2022-05-01,North America,Home & Garden,369.05,128.09,0.3471,31.14,7841,0.4142
2022-06-01,North America,Home & Garden,320.86,111.69,0.3481,31.18,4127,0.4444
2022-07-01,North America,Home & Garden,354.46,126.67,0.3574,28.75,9227,0.4965
2022-08-01,North America,Home & Garden,367.04,135.3,0.3686,40.87,6126,0.4667
2022-09-01,North America,Home & Garden,403.69,145.59,0.3606,31.28,11591,0.4196
2022-10-01,North America,Home & Garden,440.66,162.34,0.3684,41.12,4774,0.4127
2022-11-01,North America,Home & Garden,562.49,192.54,0.3423,30.71,8988,0.4751
2022-12-01,North America,Home & Garden,635.7,225.96,0.3554,58.29,8501,0.4185
2023-01-01,North America,Home & Garden,369.71,134.49,0.3638,29.82,10411,0.4189
2023-02-01,North America,Home & Garden,349.41,127.23,0.3641,22.59,6140,0.4436
2023-03-01,North America,Home & Garden,362.32,132.44,0.3655,18.15,6023,0.4306
2023-04-01,North America,Home & Garden,421.86,155.91,0.3696,37.25,7165,0.4759
2023-05-01,North America,Home & Garden,410.07,152.75,0.3725,28.58,14327,0.49
2023-06-01,North America,Home & Garden,441.97,155.16,0.3511,46.27,6682,0.4402
2023-07-01,North America,Home & Garden,384.14,141.55,0.3685,50.07,9874,0.4638
2023-08-01,North America,Home & Garden,415.93,153.01,0.3679,37.35,6078,0.5327
2023-09-01,North America,Home & Garden,477.46,171.31,0.3588,39.73,6995,0.5208
2023-10-01,North America,Home & Garden,506.34,190.21,0.3757,34.01,9886,0.49
2023-11-01,North America,Home & Garden,620.33,220.65,0.3557,74.53,12595,0.4993
2023-12-01,North America,Home & Garden,748.89,276.24,0.3689,42.06,18917,0.4976
2024-01-01,North America,Home & Garden,366.5,135.05,0.3685,28.3,5456,0.5003
2024-02-01,North America,Home & Garden,385.82,142.64,0.3697,28.06,8332,0.4818
2024-03-01,North America,Home & Garden,390.18,146.17,0.3746,26.61,13354,0.5382
2024-04-01,North America,Home & Garden,451.21,171.46,0.38,28.64,6932,0.5228
2024-05-01,North America,Home & Garden,454.13,173.87,0.3829,39.33,4836,0.5071
2024-06-01,North America,Home & Garden,468.1,172.37,0.3682,48.49,8459,0.502
2024-07-01,North America,Home & Garden,468.83,171.82,0.3665,45.94,5072,0.5106
2024-08-01,North America,Home & Garden,508.67,182.68,0.3591,30.61,5856,0.5301
2024-09-01,North America,Home & Garden,489.57,187.57,0.3831,50.08,7396,0.4995
2024-10-01,North America,Home & Garden,524.76,190.87,0.3637,49.86,12585,0.5926
2024-11-01,North America,Home & Garden,683.82,267.07,0.3906,68.11,7818,0.5456
2024-12-01,North America,Home & Garden,778.62,314.2,0.4035,61.98,11396,0.535
2021-01-01,North America,Beauty & Personal Care,295.31,156.24,0.5291,24.26,8028,0.3601
2021-02-01,North America,Beauty & Personal Care,300.52,150.7,0.5015,27.61,8678,0.3524
2021-03-01,North America,Beauty & Personal Care,322.73,166.12,0.5147,18.07,5124,0.3408
2021-04-01,North America,Beauty & Personal Care,330.12,173.41,0.5253,30.77,4603,0.3057
2021-05-01,North America,Beauty & Personal Care,310.44,162.43,0.5232,22.84,3579,0.3734
2021-06-01,North America,Beauty & Personal Care,374.51,192.15,0.5131,33.7,10058,0.4082
2021-07-01,North America,Beauty & Personal Care,348.79,174.39,0.5,31.22,5421,0.3627
2021-08-01,North America,Beauty & Personal Care,367.15,191.92,0.5227,33.85,4752,0.3935
2021-09-01,North America,Beauty & Personal Care,351.07,186.27,0.5306,33.64,8387,0.3647
2021-10-01,North America,Beauty & Personal Care,455.6,239.3,0.5252,29.93,5378,0.3649
2021-11-01,North America,Beauty & Personal Care,547.72,292.42,0.5339,45.44,6440,0.4348
2021-12-01,North America,Beauty & Personal Care,606.08,328.98,0.5428,41.7,6661,0.3994
2022-01-01,North America,Beauty & Personal Care,320.54,169.35,0.5283,26.41,5012,0.393
2022-02-01,North America,Beauty & Personal Care,321.96,170.93,0.5309,40.7,3504,0.4135
2022-03-01,North America,Beauty & Personal Care,360.63,187.59,0.5202,29.9,10025,0.4147
2022-04-01,North America,Beauty & Personal Care,376.66,202.42,0.5374,32.72,5918,0.4226
2022-05-01,North America,Beauty & Personal Care,320.15,171.97,0.5372,23.05,8371,0.431
2022-06-01,North America,Beauty & Personal Care,330.39,174.13,0.527,23.63,4738,0.4208
2022-07-01,North America,Beauty & Personal Care,356.84,196.68,0.5512,32.19,5039,0.4239
2022-08-01,North America,Beauty & Personal Care,334.95,178.62,0.5333,24.07,9140,0.4207
2022-09-01,North America,Beauty & Personal Care,412.3,222.19,0.5389,37.18,5378,0.4665
2022-10-01,North America,Beauty & Personal Care,440.94,230.76,0.5233,39.44,8652,0.4444
2022-11-01,North America,Beauty & Personal Care,606.92,329.0,0.5421,29.71,6912,0.4326
2022-12-01,North America,Beauty & Personal Care,628.05,344.09,0.5479,85.59,8105,0.4425
2023-01-01,North America,Beauty & Personal Care,366.0,200.45,0.5477,31.89,6524,0.4482
2023-02-01,North America,Beauty & Personal Care,336.87,180.79,0.5367,27.64,9865,0.4743
2023-03-01,North America,Beauty & Personal Care,374.68,205.78,0.5492,18.62,9082,0.4433
2023-04-01,North America,Beauty & Personal Care,360.6,191.86,0.532,33.94,7765,0.4524
2023-05-01,North America,Beauty & Personal Care,421.55,230.47,0.5467,47.21,6553,0.4034
2023-06-01,North America,Beauty & Personal Care,417.09,217.87,0.5224,30.32,8430,0.5065
2023-07-01,North America,Beauty & Personal Care,427.82,231.02,0.54,24.09,4938,0.5046
2023-08-01,North America,Beauty & Personal Care,423.23,234.42,0.5539,37.24,6563,0.5001
2023-09-01,North America,Beauty & Personal Care,454.1,244.78,0.539,30.15,5051,0.4547
2023-10-01,North America,Beauty & Personal Care,501.48,268.33,0.5351,50.07,8330,0.4462
2023-11-01,North America,Beauty & Personal Care,685.04,376.66,0.5498,51.92,10185,0.4871
2023-12-01,North America,Beauty & Personal Care,752.51,409.82,0.5446,70.04,26401,0.4637
2024-01-01,North America,Beauty & Personal Care,400.95,226.32,0.5645,26.04,11214,0.4931
2024-02-01,North America,Beauty & Personal Care,350.73,189.99,0.5417,28.44,5045,0.4866
2024-03-01,North America,Beauty & Personal Care,446.07,247.17,0.5541,31.78,9669,0.5116
2024-04-01,North America,Beauty & Personal Care,419.77,226.05,0.5385,46.84,7446,0.4946
2024-05-01,North America,Beauty & Personal Care,445.87,250.26,0.5613,37.24,4695,0.5147
2024-06-01,North America,Beauty & Personal Care,499.63,279.35,0.5591,64.51,8482,0.5393
2024-07-01,North America,Beauty & Personal Care,475.46,266.35,0.5602,40.81,5676,0.5012
2024-08-01,North America,Beauty & Personal Care,505.49,285.21,0.5642,47.25,8298,0.522
2024-09-01,North America,Beauty & Personal Care,494.98,275.93,0.5575,30.34,7762,0.5037
2024-10-01,North America,Beauty & Personal Care,546.96,304.95,0.5575,43.17,18031,0.5294
2024-11-01,North America,Beauty & Personal Care,757.1,421.97,0.5573,34.94,9105,0.5338
2024-12-01,North America,Beauty & Personal Care,738.43,423.11,0.573,70.25,16319,0.547
2021-01-01,North America,Sports & Outdoors,226.03,70.08,0.31,12.27,5295,0.3337
2021-02-01,North America,Sports & Outdoors,220.86,70.03,0.3171,13.38,5556,0.3851
2021-03-01,North America,Sports & Outdoors,243.26,77.83,0.32,14.89,4189,0.3617
2021-04-01,North America,Sports & Outdoors,248.19,80.72,0.3252,20.25,5799,0.3516
2021-05-01,North America,Sports & Outdoors,254.82,75.32,0.2956,19.6,3051,0.4207
2021-06-01,North America,Sports & Outdoors,262.66,80.69,0.3072,16.89,5781,0.3409
2021-07-01,North America,Sports & Outdoors,266.22,78.53,0.295,23.97,5770,0.3875
2021-08-01,North America,Sports & Outdoors,256.69,82.07,0.3197,26.37,9144,0.3379
2021-09-01,North America,Sports & Outdoors,280.69,88.42,0.315,18.85,4718,0.4136
2021-10-01,North America,Sports & Outdoors,305.81,97.56,0.319,28.0,7441,0.3597
2021-11-01,North America,Sports & Outdoors,432.7,130.28,0.3011,28.22,10871,0.3886
2021-12-01,North America,Sports & Outdoors,428.43,130.71,0.3051,29.02,8247,0.4048
2022-01-01,North America,Sports & Outdoors,258.45,79.37,0.3071,24.1,7450,0.3587
2022-02-01,North America,Sports & Outdoors,218.78,63.37,0.2897,17.34,2785,0.4429
2022-03-01,North America,Sports & Outdoors,268.13,85.84,0.3202,17.99,5394,0.391
2022-04-01,North America,Sports & Outdoors,278.07,88.47,0.3182,15.84,4528,0.4151
2022-05-01,North America,Sports & Outdoors,285.94,87.14,0.3047,20.61,6983,0.4632
2022-06-01,North America,Sports & Outdoors,279.88,84.75,0.3028,20.07,4917,0.4229
2022-07-01,North America,Sports & Outdoors,256.87,75.76,0.2949,15.66,4412,0.4705
2022-08-01,North America,Sports & Outdoors,258.87,81.85,0.3162,20.57,5059,0.428
2022-09-01,North America,Sports & Outdoors,337.91,104.25,0.3085,32.97,7974,0.4199
2022-10-01,North America,Sports & Outdoors,336.83,105.21,0.3123,37.52,4951,0.4553
2022-11-01,North America,Sports & Outdoors,472.78,155.15,0.3282,39.75,7078,0.4424
2022-12-01,North America,Sports & Outdoors,468.22,154.53,0.33,39.92,6017,0.3807
2023-01-01,North America,Sports & Outdoors,242.58,78.1,0.322,15.17,4836,0.4493
2023-02-01,North America,Sports & Outdoors,288.48,93.01,0.3224,19.81,3609,0.3903
2023-03-01,North America,Sports & Outdoors,290.07,93.63,0.3228,28.27,7149,0.4294
2023-04-01,North America,Sports & Outdoors,295.64,86.82,0.2937,33.09,4492,0.3881
2023-05-01,North America,Sports & Outdoors,291.38,95.28,0.327,21.68,8109,0.4908
2023-06-01,North America,Sports & Outdoors,307.87,98.17,0.3189,29.52,10398,0.4821
2023-07-01,North America,Sports & Outdoors,294.06,96.13,0.3269,18.36,5523,0.4281
2023-08-01,North America,Sports & Outdoors,330.27,107.28,0.3248,21.66,8841,0.5014
2023-09-01,North America,Sports & Outdoors,307.03,93.52,0.3046,34.3,3735,0.5391
2023-10-01,North America,Sports & Outdoors,376.68,121.32,0.3221,37.76,6638,0.5003
2023-11-01,North America,Sports & Outdoors,489.06,151.8,0.3104,72.22,15926,0.4697
2023-12-01,North America,Sports & Outdoors,550.23,173.18,0.3147,37.14,6541,0.5064
2024-01-01,North America,Sports & Outdoors,322.15,103.3,0.3207,25.82,4879,0.4924
2024-02-01,North America,Sports & Outdoors,280.41,91.23,0.3253,34.34,6891,0.5155
2024-03-01,North America,Sports & Outdoors,294.56,97.09,0.3296,34.83,3522,0.5332
2024-04-01,North America,Sports & Outdoors,327.89,98.51,0.3004,22.94,5078,0.5178
2024-05-01,North America,Sports & Outdoors,339.13,112.39,0.3314,18.41,5789,0.5117
2024-06-01,North America,Sports & Outdoors,316.87,100.69,0.3178,17.1,3948,0.4934
2024-07-01,North America,Sports & Outdoors,334.6,111.01,0.3318,22.1,8006,0.5809
2024-08-01,North America,Sports & Outdoors,366.64,115.62,0.3153,30.88,8363,0.5194
2024-09-01,North America,Sports & Outdoors,365.58,114.21,0.3124,28.16,4101,0.5529
2024-10-01,North America,Sports & Outdoors,401.01,129.38,0.3226,53.53,4668,0.5753
2024-11-01,North America,Sports & Outdoors,557.3,172.29,0.3091,45.67,6099,0.5425
2024-12-01,North America,Sports & Outdoors,567.26,179.11,0.3157,47.46,7904,0.5185
2021-01-01,Europe,Electronics,487.12,92.17,0.1892,52.05,5367,0.3221
2021-02-01,Europe,Electronics,369.21,60.3,0.1633,31.35,6448,0.2655
2021-03-01,Europe,Electronics,394.63,75.19,0.1905,33.73,5826,0.4015
2021-04-01,Europe,Electronics,429.55,78.14,0.1819,57.51,4876,0.3447
2021-05-01,Europe,Electronics,519.98,95.56,0.1838,45.2,9172,0.3632
2021-06-01,Europe,Electronics,611.41,109.59,0.1792,49.85,8373,0.3491
2021-07-01,Europe,Electronics,522.54,95.41,0.1826,52.89,6755,0.3342
2021-08-01,Europe,Electronics,520.26,83.24,0.16,40.47,7432,0.3114
2021-09-01,Europe,Electronics,574.94,101.02,0.1757,29.44,14993,0.4345
2021-10-01,Europe,Electronics,643.71,117.56,0.1826,70.35,8532,0.3632
2021-11-01,Europe,Electronics,853.17,139.01,0.1629,59.02,17533,0.391
2021-12-01,Europe,Electronics,869.23,143.96,0.1656,46.05,10810,0.3613
2022-01-01,Europe,Electronics,518.41,85.12,0.1642,47.47,9936,0.4099
2022-02-01,Europe,Electronics,480.71,86.84,0.1807,34.41,9804,0.4081
2022-03-01,Europe,Electronics,531.61,96.12,0.1808,27.98,12133,0.4146
2022-04-01,Europe,Electronics,525.18,98.8,0.1881,34.35,5532,0.33
2022-05-01,Europe,Electronics,558.97,96.58,0.1728,64.67,16716,0.4116
2022-06-01,Europe,Electronics,471.71,85.15,0.1805,39.67,7257,0.3859
2022-07-01,Europe,Electronics,578.43,95.1,0.1644,43.05,6111,0.4705
2022-08-01,Europe,Electronics,532.47,96.95,0.1821,41.97,7759,0.4221
2022-09-01,Europe,Electronics,565.81,93.53,0.1653,44.84,13774,0.4116
2022-10-01,Europe,Electronics,654.02,110.76,0.1693,60.25,16006,0.4606
2022-11-01,Europe,Electronics,909.87,155.78,0.1712,98.16,12395,0.4073
2022-12-01,Europe,Electronics,914.82,151.85,0.166,101.41,16104,0.3982
2023-01-01,Europe,Electronics,536.3,91.06,0.1698,52.77,6388,0.4121
2023-02-01,Europe,Electronics,520.63,94.73,0.182,60.08,12414,0.4496
2023-03-01,Europe,Electronics,582.5,95.71,0.1643,35.16,11012,0.4866
2023-04-01,Europe,Electronics,554.07,92.22,0.1664,36.69,7800,0.4406
2023-05-01,Europe,Electronics,616.62,108.03,0.1752,51.2,13864,0.4346
2023-06-01,Europe,Electronics,626.1,113.74,0.1817,41.09,15489,0.5116
2023-07-01,Europe,Electronics,640.8,110.19,0.172,63.64,13984,0.4674
2023-08-01,Europe,Electronics,640.05,109.1,0.1705,74.08,14866,0.4259
2023-09-01,Europe,Electronics,675.36,109.23,0.1617,46.31,8394,0.5186
2023-10-01,Europe,Electronics,727.71,131.22,0.1803,92.31,23185,0.5198
2023-11-01,Europe,Electronics,878.64,140.9,0.1604,85.88,10939,0.5242
2023-12-01,Europe,Electronics,936.49,166.76,0.1781,94.27,12021,0.5109
2024-01-01,Europe,Electronics,503.94,87.93,0.1745,36.53,8147,0.5351
2024-02-01,Europe,Electronics,551.29,88.61,0.1607,69.37,7127,0.4926
2024-03-01,Europe,Electronics,599.41,90.91,0.1517,44.01,7849,0.5122
2024-04-01,Europe,Electronics,697.99,108.89,0.156,81.46,7417,0.4916
2024-05-01,Europe,Electronics,654.79,109.15,0.1667,43.5,12205,0.4687
2024-06-01,Europe,Electronics,676.31,115.54,0.1708,50.48,9854,0.5318
2024-07-01,Europe,Electronics,644.4,105.16,0.1632,38.72,9799,0.5619
2024-08-01,Europe,Electronics,664.37,114.32,0.1721,71.15,12176,0.5554
2024-09-01,Europe,Electronics,692.1,103.54,0.1496,65.81,16297,0.5456
2024-10-01,Europe,Electronics,753.26,142.18,0.1887,55.53,8168,0.5227
2024-11-01,Europe,Electronics,1008.29,142.59,0.1414,112.22,17348,0.5495
2024-12-01,Europe,Electronics,1155.37,187.97,0.1627,76.54,17304,0.5424
2021-01-01,Europe,Apparel,287.39,121.07,0.4213,28.07,7306,0.3098
2021-02-01,Europe,Apparel,309.2,125.7,0.4065,25.32,9380,0.3571
2021-03-01,Europe,Apparel,305.33,126.93,0.4157,30.31,3505,0.3574
2021-04-01,Europe,Apparel,325.83,132.64,0.4071,30.52,5491,0.3568
2021-05-01,Europe,Apparel,328.01,138.78,0.4231,27.12,3885,0.3273
2021-06-01,Europe,Apparel,366.73,152.1,0.4148,24.53,7543,0.3976
2021-07-01,Europe,Apparel,339.51,141.51,0.4168,23.23,7159,0.3939
2021-08-01,Europe,Apparel,393.5,175.57,0.4462,36.26,5284,0.3558
2021-09-01,Europe,Apparel,363.77,150.39,0.4134,29.31,10759,0.4086
2021-10-01,Europe,Apparel,388.66,175.91,0.4526,26.62,6019,0.3897
2021-11-01,Europe,Apparel,494.58,218.63,0.4421,47.0,8114,0.398
2021-12-01,Europe,Apparel,547.96,241.17,0.4401,35.34,9092,0.3663
2022-01-01,Europe,Apparel,335.05,146.79,0.4381,27.57,8351,0.4305
2022-02-01,Europe,Apparel,288.31,122.94,0.4264,22.46,3737,0.3944
2022-03-01,Europe,Apparel,337.21,143.49,0.4255,33.7,4818,0.4216
2022-04-01,Europe,Apparel,347.06,146.94,0.4234,24.21,3913,0.4125
2022-05-01,Europe,Apparel,366.7,160.47,0.4376,28.38,7765,0.4165
2022-06-01,Europe,Apparel,344.6,146.07,0.4239,43.08,5444,0.413
2022-07-01,Europe,Apparel,304.28,132.88,0.4367,23.42,3630,0.4452
2022-08-01,Europe,Apparel,364.12,162.06,0.4451,38.43,4467,0.4309
2022-09-01,Europe,Apparel,379.45,164.73,0.4341,33.85,5370,0.4256
2022-10-01,Europe,Apparel,468.09,197.3,0.4215,35.88,11516,0.3926
2022-11-01,Europe,Apparel,528.78,217.13,0.4106,43.11,17974,0.4615
2022-12-01,Europe,Apparel,601.22,260.82,0.4338,48.81,18977,0.4251
2023-01-01,Europe,Apparel,343.66,152.05,0.4424,18.41,5946,0.4175
2023-02-01,Europe,Apparel,360.14,159.45,0.4427,38.58,9011,0.4745
2023-03-01,Europe,Apparel,360.02,156.74,0.4354,23.12,4702,0.4225
2023-04-01,Europe,Apparel,357.02,148.24,0.4152,34.05,6852,0.4137
2023-05-01,Europe,Apparel,405.78,181.88,0.4482,39.37,7066,0.4747
2023-06-01,Europe,Apparel,384.63,167.89,0.4365,41.81,11025,0.4473
2023-07-01,Europe,Apparel,381.38,157.68,0.4134,21.63,6521,0.4886
2023-08-01,Europe,Apparel,405.7,172.32,0.4247,50.05,4493,0.4753
2023-09-01,Europe,Apparel,443.34,188.15,0.4244,27.46,4766,0.4964
2023-10-01,Europe,Apparel,448.18,197.92,0.4416,16.11,6483,0.3961
2023-11-01,Europe,Apparel,586.81,262.45,0.4473,30.98,17768,0.5225
2023-12-01,Europe,Apparel,600.77,269.62,0.4488,42.17,6463,0.4653
2024-01-01,Europe,Apparel,386.91,172.3,0.4453,25.8,4244,0.5388
2024-02-01,Europe,Apparel,335.64,152.56,0.4545,21.87,7594,0.4801
2024-03-01,Europe,Apparel,367.48,161.67,0.4399,23.41,9647,0.4542
2024-04-01,Europe,Apparel,388.31,167.13,0.4304,32.09,4946,0.5199
2024-05-01,Europe,Apparel,381.78,165.49,0.4335,27.79,6592,0.4806
2024-06-01,Europe,Apparel,428.45,186.22,0.4346,40.38,11428,0.5137
